"id_str","created_at","text"
"1082166867043639297","2019-01-07 06:47:41","Alex Gladstein on Why Bitcoin Matters for Freedom https://t.co/zLagflEazH https://t.co/kWFtDD42JI"
"1082166862224347136","2019-01-07 06:47:40","January 2019 Patch Tuesday forecast: Partly cloudy followed by heavy fog around Java https://t.co/ylaKiMAH8v https://t.co/Gt0OMghvYc"
"1082164977018986496","2019-01-07 06:40:10","After Ten Years Abroad, What’s It Like to Live in India Again? https://t.co/DBEkHNMjNU https://t.co/X5bZwOTKmV"
"1082164973155971072","2019-01-07 06:40:09","Beginners Guide for Data Science https://t.co/wmrNFWvLQB https://t.co/nHXTrZH84e"
"1082164969234264064","2019-01-07 06:40:08","Cyber-attack on Luas transport system may affect 3,226 users https://t.co/ED9dMObCMU https://t.co/QWVoNEke8M"
"1082164964410875905","2019-01-07 06:40:07","DIY Redux with RxJS: Part 2 https://t.co/ec6djom0kz https://t.co/N5q1daseht"
"1082162949974704129","2019-01-07 06:32:07","The average PC gamer has experienced almost 5 cyberattacks due to poor security habits https://t.co/gCfXyiAs6p https://t.co/d5XPF4ZYjP"
"1082160906044268546","2019-01-07 06:24:00","“When Altseason?” — How to Time the Most Profitable Period in the Cryptocurrency Market https://t.co/rlf71AiKD2 https://t.co/mWfE6pWs6X"
"1082160902114140160","2019-01-07 06:23:59","medium-2-md: Convert Medium posts to markdown with front matter https://t.co/jhtly7wD9l https://t.co/CWgeCXssyC"
"1082160898368651264","2019-01-07 06:23:58","Deploy Private Docker Registry on GCP with Nexus, Terraform and Packer https://t.co/HqWE3RWvc7 https://t.co/YvjtOG3CnV"
"1082160893780086784","2019-01-07 06:23:57","TestOps Infrastructure From Beginning to End: A Practical Approach (Part 2) https://t.co/hsECgpy7mT https://t.co/aZUrCuliUG"
"1082160163962777601","2019-01-07 06:21:03","Deploying an Nchan-Powered PubSub Server on ECS https://t.co/qvsOxJ0diS https://t.co/9gY7kfZdFl"
"1082158933194682369","2019-01-07 06:16:09","Complicated patterns aren’t always that complicated. Usually it’s the simple ones that bite you.… https://t.co/36CdFVw7wp"
"1082158928442486785","2019-01-07 06:16:08","8 reasons why you should outsource software development https://t.co/fyhpUdR81L https://t.co/8dhbyJryW1"
"1082158924575297537","2019-01-07 06:16:07","Utter “Noncesense” — a statistical study of nonce value distribution on the Monero blockchain… https://t.co/Z4IqAPt79B"
"1082158919730876417","2019-01-07 06:16:06","The attack surface is growing faster than it has at any other point in the history of technology… https://t.co/ghFz9IZfIi"
"1082158914265702400","2019-01-07 06:16:05","What if we could verify npm packages? https://t.co/A4njrRCKO7 https://t.co/aPj5Ib4JZV"
"1082158907672252416","2019-01-07 06:16:03","Data breaches lead to higher advertising expenses for hospitals: Report https://t.co/fx95wCDUAP https://t.co/g6LDQxnGf4"
"1082158411410632704","2019-01-07 06:14:05","Yusaku Maezawa: Japanese billionaire tweets most retweeted tweet https://t.co/VSUg4y1Nx1 https://t.co/lC9z2g82hX"
"1082156911535939587","2019-01-07 06:08:07","Security analytics to reach $12 billion by 2024 https://t.co/LREMlJlaIa https://t.co/UQclitWjY8"
"1082152627461251073","2019-01-07 05:51:06","Market Reaction To Apple’s Announcement Hard to Swallow — Or Is it? https://t.co/Ir394u2dRw https://t.co/jqKLRFx6sV"
"1082143065265979393","2019-01-07 05:13:06","Regaining Debug Access to NXP https://t.co/rcHLMrFD08 RT1064-EVK Executing WFI https://t.co/FVWEyl06pd https://t.co/zpazjK9kCE"
"1082140789323444224","2019-01-07 05:04:04","FBI Investigating Fake Texts Sent To GOP House Members https://t.co/hgCjUSMrE8"
"1082139549516484608","2019-01-07 04:59:08","D-Link at CES 2019: Mesh-Enabled Exo Routers and Extenders with McAfee Security https://t.co/rXYjR3rq7f https://t.co/K6tlDWH8y0"
"1082125330666512384","2019-01-07 04:02:38","Samsung TVs Score iTunes and a MicroLED Upgrade https://t.co/VSt5PqTOJc https://t.co/M3hoJ3lYu2"
"1082124941015695361","2019-01-07 04:01:05","Limitations of Blockchain Technology https://t.co/X5UggT3Nvu https://t.co/V7vOSdnAfX"
"1082112363598274560","2019-01-07 03:11:06","10 Best Security-Centric Linux Distributions For Privacy Protection In 2019 https://t.co/4MlxFQOOUL https://t.co/pdt419xScD"
"1082110339414544384","2019-01-07 03:03:04","German agency defends handling of data breach – POST-COURIER https://t.co/2zptcIp1V1"
"1082106074214199296","2019-01-07 02:46:07","Targus made a backpack with a wireless charging pocket https://t.co/fn2pwv7hM1 https://t.co/PQN1O84R2u"
"1082095997268815872","2019-01-07 02:06:04","They’re dead to us: The Ars Technica 2019 Deathwatch https://t.co/z4YdauyeoU"
"1082088964264124417","2019-01-07 01:38:07","Israel says it stopped Palestinian bid for full UN membership https://t.co/06h1C5u8VS"
"1082081907943256065","2019-01-07 01:10:05","Lenovo's Chairman Says Worst is Over For PC Giant https://t.co/3uI70H63Q0"
"1082081906118733825","2019-01-07 01:10:05","Netatmo’s smart doorbell is the first that’s compatible with Apple HomeKit https://t.co/U45OWvMTtM https://t.co/Gqb1iUH1Eq"
"1082079894501175296","2019-01-07 01:02:05","Hacker Evolution Walkthrough and Guide https://t.co/XE9wQDBaQQ"
"1082065799336976384","2019-01-07 00:06:05","T-Mobile now updating Samsung Galaxy S8 Active with security patches – TmoNews https://t.co/kd5fv9Vv6K"
"1082065798129102848","2019-01-07 00:06:04","Vinyl and Cassette Sales Continued To Grow Last Year https://t.co/HfnZ9Kc73B"
"1082052897750147072","2019-01-06 23:14:49","CES 2019: Smelly advent calendar beats 'nose fatigue' https://t.co/F4c6HFLW5O https://t.co/IaCemqQaCQ"
"1082051455698096133","2019-01-06 23:09:05","Samsung Smart TVs Will Support Apple AirPlay 2 and iTunes Videos in Spring 2019 https://t.co/8qqCZ0C8mo"
"1082035104149585921","2019-01-06 22:04:06","LG Unveils 88-inch 8K TV That Doubles as a Giant Speaker https://t.co/N1JVIWu2dS"
"1082025043180175360","2019-01-06 21:24:08","The moral case for iMessage on Android https://t.co/AJ8cJjprU5 https://t.co/fegxs1xn7Y"
"1082023019466317824","2019-01-06 21:16:05","Google Drive Has a Serious Spam Problem, But Google Says a Fix is Coming https://t.co/VfE2Mm7Jf3"
"1082016757177569283","2019-01-06 20:51:12","#Windows 10 Security and #Privacy Tips https://t.co/LD8MAovipW #security #Microsoft"
"1082014215592767488","2019-01-06 20:41:06","Party-crashers dupe celebrities before Golden Globes https://t.co/vTisHa9Wbo"
"1082013453613596673","2019-01-06 20:38:04","NSA To Release a Free Reverse Engineering Tool https://t.co/eZRtjc1ZPw"
"1082011213125562369","2019-01-06 20:29:10","5 Secrets to Survive the Encryption Apocalypse https://t.co/ZTN4FVyH9Y #Ransomware"
"1082011191197618176","2019-01-06 20:29:05","AMD Gets Serious About Chromebooks at CES 2019 https://t.co/iC41Y8JuAA"
"1082006919894581248","2019-01-06 20:12:07","It’s time to stop “doing” Agile and become agile https://t.co/ZW5J6JO52s https://t.co/4wELRz5m0G"
"1082003147277516800","2019-01-06 19:57:07","Acer at CES: All New Swift 7 Laptop With 92 Percent Screen-to-body Ratio https://t.co/UtDxFaky21 https://t.co/Z5k0SxJkjb"
"1081998119410241536","2019-01-06 19:37:08","Four Steps to Patch Management Success https://t.co/1ZUTRIx0YR #cybersecurity #patchmgmt @BMCSoftware"
"1081990565435105281","2019-01-06 19:07:07","HP at CES 2019: EliteDisplay E243p with Sure View Privacy Screen Debuts https://t.co/TazdLZtoIH https://t.co/uRZVRO6ODT"
"1081980752860860416","2019-01-06 18:28:08","Who’s Really Behind the World’s Most Popular Free VPNs? https://t.co/rWwSI7EgVc https://t.co/CGeyBBaEIP"
"1081972189874679808","2019-01-06 17:54:06","German IT security chief faces grilling over hacking case https://t.co/LabQThysZB"
"1081968349410746375","2019-01-06 17:38:51","DevOps dream team or superstar DevOps engineer? Tips for aspiring DevOps engineers https://t.co/SWfa0DAa0x"
"1081965645611159552","2019-01-06 17:28:06","Will Artificial Intelligence Lead a Healthcare Renaissance in 2019? https://t.co/ZAtRVFDEN5 https://t.co/A2Q7yU4qrP"
"1081965639214936065","2019-01-06 17:28:04","Apple Took Out a CES Ad To Troll Its Competitors Over Privacy https://t.co/A2Y6WBic4u"
"1081960617295003648","2019-01-06 17:08:07","Android WARNING: Shock issue discovered with popular Google app, do YOU use it? – Express https://t.co/C90vbLCZ7w"
"1081960360754716672","2019-01-06 17:07:06","What's all the buzz about hybrid cloud? #hybridcloud with @Kevin_Jackson ?https://t.co/Cd2gCEN5qz #storage #Dell"
"1081958350101700608","2019-01-06 16:59:07","Dark Overlord hacking crew publishes first batch of confidential 9/11 files https://t.co/nmQUYy3eEj https://t.co/GJ9IbSAh8S"
"1081951050129584129","2019-01-06 16:30:06","As Smartphones and Internet Connections Rise in Africa, So Does Entertainment Streaming https://t.co/oIM9dpXfYu"
"1081940575086145537","2019-01-06 15:48:29","Successful companies use #security metrics https://t.co/5V1XvpZVNo #infosec #CISO @DellEnterprise"
"1081936962355789825","2019-01-06 15:34:07","10 Best TV Shows To Watch On Netflix Right Now https://t.co/XyR7vRYshK https://t.co/8ofVjqWqjd"
"1081933430365933570","2019-01-06 15:20:05","The Top 1,337 Productivity Tips For 2019 (Or Any Other Year) https://t.co/kDm7jx507y https://t.co/ndkFKEqTt9"
"1081932591618510849","2019-01-06 15:16:45","Protecting Critical Infrastructure from Cyber Threats via @DellEnterprise https://t.co/Nqm7c7yaQc  #cybersecurity #ML"
"1081930418432073729","2019-01-06 15:08:07","Vulnerability in Skype app for Android allows access to phone data without a passcode https://t.co/jqxBNAEyzl https://t.co/xKc7vgiXSK"
"1081928900555337728","2019-01-06 15:02:05","Will BitTorrent's Paid 'Fast Lane' Violate 'Net Neutrality'? https://t.co/0h0X3KB1lg"
"1081928792468348928","2019-01-06 15:01:40","Backups Saved 16,000 Patient Records from #Ransomware https://t.co/t8dSVvMaSZ #recovery #cybersecurity"
"1081925674418483200","2019-01-06 14:49:16","The Framework for the Future: #Cybersecurity and Automation in 2030 https://t.co/LyhA6f3Gf2 @DellEnterprise #Realize2030"
"1081923113934376961","2019-01-06 14:39:06","Reducing Wildfires with #IoT, #ML, and Drones https://t.co/HUTljtO0Fq #Wildfire @DellOEM"
"1081922607862112262","2019-01-06 14:37:05","New Jersey wrestler who was forced to cut dreadlocks returns to the mat for first time since incident https://t.co/jn9uf9K3YO"
"1081916518684917760","2019-01-06 14:12:53","3 ways #ransomware will evolve in 2018 https://t.co/JC47ixXuI9 @Carbonite #cybersecurity"
"1081915420226002946","2019-01-06 14:08:31","Companies with virtual CSOs get ahead without losing an arm and a leg https://t.co/BFDMVvhk1J from @TCDI #cybersecurity #CSO"
"1081915313845760000","2019-01-06 14:08:06","German politicians suffer massive hack of personal details and private communications https://t.co/MPnzqENaQU"
"1081914848571731968","2019-01-06 14:06:15","#Phishing emails behind notorious #ransomware scams revealed https://t.co/bgdFX3EoWV @Carbonite"
"1081913800125628419","2019-01-06 14:02:05","Screen Time Not Intrinsically Bad For Children, Say Doctors https://t.co/Pu4LoE1s0N"
"1081910027969912832","2019-01-06 13:47:06","Dentist arrested after attacking elderly Massachusetts cab driver in road rage incident https://t.co/XCIm0QKnfR"
"1081908519194914817","2019-01-06 13:41:06","How to Organize a YouTube Marketing Campaign https://t.co/bJ6SoR2RpQ https://t.co/PpyCv9Kkb6"
"1081903480275517440","2019-01-06 13:21:05","Israel arrests minors suspected of killing Palestinian woman https://t.co/LHBlCUrTcd"
"1081895426150739968","2019-01-06 12:49:04","High avalanche risk in Alps amid heavy snow; 1 dead https://t.co/pwuSac1UAw"
"1081885624607490048","2019-01-06 12:10:08","Is It A Nasty Cold Or The Flu? https://t.co/n2Ypt5VLL2 https://t.co/w42r9rOIzW"
"1081885618349600768","2019-01-06 12:10:06","Delete Facebook, 5G speeds and more: Tech Q&amp;A https://t.co/t69XZVUzCx"
